,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-07-19 00:00:00+00:00,0.05941,0.08585,0.05941,0.08584,75.01,,
2010-07-20 00:00:00+00:00,0.08584,0.09307,0.07723,0.0808,574.0,,
2010-07-21 00:00:00+00:00,0.0808,0.08181,0.07426,0.07474,262.0,,
2010-07-22 00:00:00+00:00,0.07474,0.07921,0.06634,0.07921,575.0,,
2010-07-23 00:00:00+00:00,0.07921,0.08181,0.0505,0.05842,2160.0,,
2010-07-24 00:00:00+00:00,0.05842,0.06767,0.0505,0.06262,2402.5,,
2010-07-25 00:00:00+00:00,0.06262,0.06161,0.05049,0.05454,496.32,,
2010-07-26 00:00:00+00:00,0.05454,0.05941,0.0505,0.0505,1551.48,,
2010-07-27 00:00:00+00:00,0.0505,0.056,0.05,0.056,877.0,,
2010-07-28 00:00:00+00:00,0.056,0.0605,0.053,0.06,3373.69,,
2010-07-29 00:00:00+00:00,0.06,0.062,0.054,0.0589,4390.29,,
2010-07-30 00:00:00+00:00,0.0589,0.0699,0.0571,0.0699,8058.49,,
2010-07-31 00:00:00+00:00,0.0699,0.0698,0.0582,0.0627,3020.85,,
2010-08-01 00:00:00+00:00,0.0627,0.06889,0.056,0.06785,4022.25,,
2010-08-02 00:00:00+00:00,0.06785,0.065,0.06,0.0611,2601.0,,
2010-08-03 00:00:00+00:00,0.0611,0.0633,0.06,0.0611,3599.0,,
2010-08-04 00:00:00+00:00,0.0611,0.065,0.059,0.06,9821.46,,
2010-08-05 00:00:00+00:00,0.06,0.06231,0.057,0.057,3494.0,,
2010-08-06 00:00:00+00:00,0.057,0.061,0.058,0.061,5034.07,,
2010-08-07 00:00:00+00:00,0.061,0.0624,0.0607,0.0623,1395.0,,
2010-08-08 00:00:00+00:00,0.0623,0.0622,0.059,0.059,2619.0,,
2010-08-09 00:00:00+00:00,0.059,0.061,0.059,0.0609,2201.0,,
2010-08-10 00:00:00+00:00,0.0609,0.0735,0.0593,0.0704,13631.09,,
2010-08-11 00:00:00+00:00,0.0704,0.0709,0.06651,0.07,1310.39,,
2010-08-12 00:00:00+00:00,0.07,0.07541,0.06,0.067,14061.18,,
2010-08-13 00:00:00+00:00,0.067,0.07,0.06141,0.07,2062.31,,
2010-08-14 00:00:00+00:00,0.07,0.068,0.0645,0.0645,3591.77,,
2010-08-15 00:00:00+00:00,0.0645,0.0695,0.0645,0.067,4404.2,,
2010-08-16 00:00:00+00:00,0.067,0.067,0.065,0.06529,4462.866,,
2010-08-17 00:00:00+00:00,0.06529,0.0679,0.062,0.0655,10731.468,,
2010-08-18 00:00:00+00:00,0.0655,0.0769,0.06243,0.07,13185.74,,
2010-08-19 00:00:00+00:00,0.07,0.0733,0.067,0.068,2953.975,,
2010-08-20 00:00:00+00:00,0.068,0.0679,0.0667,0.0667,741.115,,
2010-08-21 00:00:00+00:00,0.0667,0.0667,0.065,0.0655,4199.747,,
2010-08-22 00:00:00+00:00,0.0655,0.0669,0.0644,0.0664,10443.86,,
2010-08-23 00:00:00+00:00,0.0664,0.0664,0.0612,0.066,18648.972,,
2010-08-24 00:00:00+00:00,0.066,0.06689,0.063,0.06491,4297.49,,
2010-08-25 00:00:00+00:00,0.06491,0.0665,0.06491,0.065,6711.757,,
2010-08-26 00:00:00+00:00,0.065,0.0665,0.0641,0.0648,4228.88,,
2010-08-27 00:00:00+00:00,0.0648,0.0658,0.064,0.064,3870.01,,
2010-08-28 00:00:00+00:00,0.064,0.065,0.063,0.065,9009.973,,
2010-08-29 00:00:00+00:00,0.065,0.065,0.0641,0.0646,6174.005,,
2010-08-30 00:00:00+00:00,0.0646,0.0648,0.064,0.064,3173.402,,
2010-08-31 00:00:00+00:00,0.064,0.069,0.03211,0.06497,34193.138,,
2010-09-01 00:00:00+00:00,0.06497,0.0649,0.06,0.06,14886.907,,
2010-09-02 00:00:00+00:00,0.06,0.0629,0.05961,0.0629,7164.722,,
2010-09-03 00:00:00+00:00,0.0629,0.0634,0.0601,0.0634,8150.73,,
2010-09-04 00:00:00+00:00,0.0634,0.063,0.06085,0.06085,892.0,,
2010-09-05 00:00:00+00:00,0.06085,0.06238,0.0612,0.06238,3301.0,,
2010-09-06 00:00:00+00:00,0.06238,0.064,0.0605,0.06165,8459.24,,
2010-09-07 00:00:00+00:00,0.06165,0.0627,0.0616,0.0616,910.0,,
2010-09-08 00:00:00+00:00,0.0616,0.06201,0.0603,0.06101,3457.192,,
2010-09-09 00:00:00+00:00,0.06101,0.062,0.06099,0.062,2345.41,,
2010-09-10 00:00:00+00:00,0.062,0.0624,0.06109,0.06111,1733.502,,
2010-09-11 00:00:00+00:00,0.06111,0.0618,0.06014,0.0618,4939.788,,
2010-09-12 00:00:00+00:00,0.0618,0.065,0.0619,0.06366,7749.14,,
2010-09-13 00:00:00+00:00,0.06366,0.0621,0.0615,0.0615,793.88,,
2010-09-14 00:00:00+00:00,0.0615,0.064,0.0607,0.06218,10076.336,,
2010-09-15 00:00:00+00:00,0.06218,0.175,0.061,0.06199,14014.808,,
2010-09-16 00:00:00+00:00,0.06199,0.0625,0.0604,0.0604,3651.85,,
2010-09-17 00:00:00+00:00,0.0604,0.0619,0.0618,0.0618,730.0,,
2010-09-18 00:00:00+00:00,0.0618,0.0609,0.059,0.0601,7262.0,,
2010-09-19 00:00:00+00:00,0.0601,0.061,0.05761,0.061,7092.609,,
2010-09-20 00:00:00+00:00,0.061,0.0627,0.06,0.0627,12852.17,,
2010-09-21 00:00:00+00:00,0.0627,0.0634,0.062,0.0621,14307.94,,
2010-09-22 00:00:00+00:00,0.0621,0.0633,0.0623,0.06265,5735.946,,
2010-09-23 00:00:00+00:00,0.06265,0.0624,0.06147,0.0622,11560.4,,
2010-09-24 00:00:00+00:00,0.0622,0.063,0.0615,0.06231,15505.33,,
2010-09-25 00:00:00+00:00,0.06231,0.0624,0.06209,0.0622,684.375,,
2010-09-26 00:00:00+00:00,0.0622,0.0624,0.0617,0.06202,2152.5,,
2010-09-27 00:00:00+00:00,0.06202,0.06228,0.06186,0.0622,12058.125,,
2010-09-28 00:00:00+00:00,0.0622,0.06228,0.0619,0.06221,10752.245,,
2010-09-29 00:00:00+00:00,0.06221,0.06271,0.0617,0.0619,7086.153,,
2010-09-30 00:00:00+00:00,0.0619,0.062,0.0615,0.06183,23475.642,,
2010-10-01 00:00:00+00:00,0.06183,0.0619,0.06155,0.0619,7917.025,,
2010-10-02 00:00:00+00:00,0.0619,0.062,0.06189,0.06197,1717.45,,
2010-10-03 00:00:00+00:00,0.06197,0.06191,0.06125,0.0614,13059.737,,
2010-10-04 00:00:00+00:00,0.0614,0.0614,0.061,0.06111,7172.633,,
2010-10-05 00:00:00+00:00,0.06111,0.062,0.06081,0.06129,33995.369,,
2010-10-06 00:00:00+00:00,0.06129,0.06301,0.0609,0.0614,27526.613,,
2010-10-07 00:00:00+00:00,0.0614,0.0635,0.0612,0.06281,33433.302,,
2010-10-08 00:00:00+00:00,0.06281,0.067,0.0628,0.067,43692.981,,
2010-10-09 00:00:00+00:00,0.067,0.088,0.01,0.08684,139287.286,,
2010-10-10 00:00:00+00:00,0.08684,0.12001,0.068,0.0938,187846.954,,
2010-10-11 00:00:00+00:00,0.0938,0.1301,0.07999,0.0965,50684.192,,
2010-10-12 00:00:00+00:00,0.0965,0.103,0.091,0.095,14092.905,,
2010-10-13 00:00:00+00:00,0.095,0.099,0.082,0.0949,25660.749,,
2010-10-14 00:00:00+00:00,0.0949,0.105,0.092,0.105,47557.265,,
2010-10-15 00:00:00+00:00,0.105,0.1045,0.065,0.102,37217.28,,
2010-10-16 00:00:00+00:00,0.102,0.119,0.092,0.105,24643.334,,
2010-10-17 00:00:00+00:00,0.105,0.103,0.1,0.101,6284.708,,
2010-10-18 00:00:00+00:00,0.101,0.1045,0.10001,0.102,18222.191,,
2010-10-19 00:00:00+00:00,0.102,0.103,0.097,0.1024,25665.087,,
2010-10-20 00:00:00+00:00,0.1024,0.1019,0.097,0.097,6235.1,,
2010-10-21 00:00:00+00:00,0.097,0.103,0.094,0.099,31855.0,,
2010-10-22 00:00:00+00:00,0.099,0.109,0.097,0.107,44867.0,,
2010-10-23 00:00:00+00:00,0.107,0.10901,0.1015,0.10901,34603.909,,
2010-10-24 00:00:00+00:00,0.10901,0.109,0.10449,0.1055,4423.469,,
2010-10-25 00:00:00+00:00,0.1055,0.19,0.108,0.11501,13800.23,,
2010-10-26 00:00:00+00:00,0.11501,0.19,0.09009,0.132,30299.635,,
2010-10-27 00:00:00+00:00,0.132,0.18,0.133,0.1503,19219.125,,
2010-10-28 00:00:00+00:00,0.1503,0.19,0.151,0.1877,65605.872,,
2010-10-29 00:00:00+00:00,0.1877,0.191,0.1731,0.1731,21525.035,,
2010-10-30 00:00:00+00:00,0.1731,0.19,0.173,0.19,28686.852,,
2010-10-31 00:00:00+00:00,0.19,0.199,0.1875,0.1989,26708.94,,
2010-11-01 00:00:00+00:00,0.1989,0.1989,0.171,0.1925,40337.756,,
2010-11-02 00:00:00+00:00,0.1925,0.1955,0.172,0.1949,21258.611,,
2010-11-03 00:00:00+00:00,0.1949,0.195,0.1905,0.1938,5853.394,,
2010-11-04 00:00:00+00:00,0.1938,0.275,0.125,0.1931,61472.627,,
2010-11-05 00:00:00+00:00,0.1931,0.23601,0.1934,0.23,29698.431,,
2010-11-06 00:00:00+00:00,0.23,0.2639,0.2101,0.2639,36622.072,,
2010-11-07 00:00:00+00:00,0.2639,0.5,0.2402,0.39,32756.129,,
2010-11-08 00:00:00+00:00,0.39,0.46999,0.286,0.34,77218.719,,
2010-11-09 00:00:00+00:00,0.34,0.37,0.2261,0.243,118203.827,,
2010-11-10 00:00:00+00:00,0.243,0.323,0.199,0.223,47983.393,,
2010-11-11 00:00:00+00:00,0.223,0.24,0.14,0.2291,30387.028,,
2010-11-12 00:00:00+00:00,0.2291,0.24,0.21,0.2231,5031.88,,
2010-11-13 00:00:00+00:00,0.2231,0.29,0.223,0.2682,40720.385,,
2010-11-14 00:00:00+00:00,0.2682,0.3,0.2683,0.276,21915.573,,
2010-11-15 00:00:00+00:00,0.276,0.299,0.2702,0.27904,16844.327,,
2010-11-16 00:00:00+00:00,0.27904,0.2828,0.2682,0.2682,8507.74,,
2010-11-17 00:00:00+00:00,0.2682,0.275,0.223,0.2251,33931.012,,
2010-11-18 00:00:00+00:00,0.2251,0.29,0.2116,0.24,32871.602,,
2010-11-19 00:00:00+00:00,0.24,0.283,0.2221,0.2678,37446.671,,
2010-11-20 00:00:00+00:00,0.2678,0.28,0.2682,0.2752,2157.562,,
2010-11-21 00:00:00+00:00,0.2752,0.29,0.26825,0.28301,14652.694,,
2010-11-22 00:00:00+00:00,0.28301,0.282,0.27631,0.27675,765.0,,
2010-11-23 00:00:00+00:00,0.27675,0.2879,0.269,0.2835,28205.85,,
2010-11-24 00:00:00+00:00,0.2835,0.28449,0.276,0.28295,4856.923,,
2010-11-25 00:00:00+00:00,0.28295,0.28299,0.2761,0.2828,2514.912,,
2010-11-26 00:00:00+00:00,0.2828,0.2825,0.278,0.28,1679.595,,
2010-11-27 00:00:00+00:00,0.28,0.289,0.27612,0.2844,33531.876,,
2010-11-28 00:00:00+00:00,0.2844,0.2844,0.28255,0.283,1825.388,,
2010-11-29 00:00:00+00:00,0.283,0.28461,0.27,0.27,20802.126,,
2010-11-30 00:00:00+00:00,0.27,0.279,0.2151,0.2299,35055.403,,
